instant,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month,year
63,2011-01-03,Springer,0,Monday,1,1,0.24,0.2273,0.3,0.2239,11,146,157,January,2011
64,2011-01-03,Springer,0,Monday,1,1,0.24,0.2576,0.32,0.1045,9,148,157,January,2011
65,2011-01-03,Springer,0,Monday,1,1,0.2,0.2576,0.47,0.0,8,102,110,January,2011
66,2011-01-03,Springer,0,Monday,1,1,0.2,0.2273,0.47,0.1045,3,49,52,January,2011
67,2011-01-03,Springer,0,Monday,1,1,0.18,0.197,0.64,0.1343,3,49,52,January,2011
68,2011-01-03,Springer,0,Monday,1,1,0.14,0.1515,0.69,0.1343,0,20,20,January,2011
69,2011-01-03,Springer,0,Monday,1,1,0.18,0.2121,0.55,0.1045,1,11,12,January,2011
70,2011-01-04,Springer,0,Tuesday,1,1,0.16,0.1818,0.55,0.1045,0,5,5,January,2011
71,2011-01-04,Springer,0,Tuesday,1,1,0.16,0.1818,0.59,0.1045,0,2,2,January,2011
72,2011-01-04,Springer,0,Tuesday,1,1,0.14,0.1515,0.63,0.1343,0,1,1,January,2011
73,2011-01-04,Springer,0,Tuesday,1,1,0.14,0.1818,0.63,0.0896,0,2,2,January,2011
74,2011-01-04,Springer,0,Tuesday,1,1,0.12,0.1515,0.68,0.1045,0,4,4,January,2011
75,2011-01-04,Springer,0,Tuesday,1,1,0.12,0.1515,0.74,0.1045,0,36,36,January,2011
76,2011-01-04,Springer,0,Tuesday,1,1,0.12,0.1515,0.74,0.1343,2,92,94,January,2011
77,2011-01-04,Springer,0,Tuesday,1,1,0.14,0.1515,0.69,0.1642,2,177,179,January,2011
78,2011-01-04,Springer,0,Tuesday,1,1,0.16,0.1515,0.64,0.2239,2,98,100,January,2011
79,2011-01-04,Springer,0,Tuesday,1,2,0.16,0.1364,0.69,0.3284,5,37,42,January,2011
80,2011-01-04,Springer,0,Tuesday,1,1,0.22,0.2121,0.51,0.2985,7,50,57,January,2011
81,2011-01-04,Springer,0,Tuesday,1,1,0.22,0.2273,0.51,0.1642,12,66,78,January,2011
82,2011-01-04,Springer,0,Tuesday,1,1,0.24,0.2273,0.56,0.194,18,79,97,January,2011
83,2011-01-04,Springer,0,Tuesday,1,1,0.26,0.2576,0.52,0.2239,9,54,63,January,2011
84,2011-01-04,Springer,0,Tuesday,1,1,0.28,0.2727,0.52,0.2537,17,48,65,January,2011
85,2011-01-04,Springer,0,Tuesday,1,1,0.3,0.2879,0.49,0.2537,15,68,83,January,2011
86,2011-01-04,Springer,0,Tuesday,1,1,0.28,0.2727,0.48,0.2239,10,202,212,January,2011
87,2011-01-04,Springer,0,Tuesday,1,1,0.26,0.2576,0.48,0.194,3,179,182,January,2011
88,2011-01-04,Springer,0,Tuesday,1,1,0.24,0.2576,0.48,0.1045,2,110,112,January,2011
89,2011-01-04,Springer,0,Tuesday,1,1,0.24,0.2576,0.48,0.1045,1,53,54,January,2011
90,2011-01-04,Springer,0,Tuesday,1,1,0.22,0.2727,0.64,0.0,0,48,48,January,2011
91,2011-01-04,Springer,0,Tuesday,1,1,0.22,0.2576,0.64,0.0896,1,34,35,January,2011
92,2011-01-04,Springer,0,Tuesday,1,1,0.2,0.2273,0.69,0.0896,2,9,11,January,2011
93,2011-01-05,Springer,0,Wednesday,1,1,0.2,0.2576,0.64,0.0,0,6,6,January,2011
94,2011-01-05,Springer,0,Wednesday,1,1,0.16,0.197,0.74,0.0896,0,6,6,January,2011
95,2011-01-05,Springer,0,Wednesday,1,1,0.16,0.197,0.74,0.0896,0,2,2,January,2011
96,2011-01-05,Springer,0,Wednesday,1,1,0.24,0.2273,0.48,0.2239,0,2,2,January,2011
97,2011-01-05,Springer,0,Wednesday,1,1,0.22,0.2273,0.47,0.1642,0,3,3,January,2011
98,2011-01-05,Springer,0,Wednesday,1,1,0.2,0.197,0.47,0.2239,0,33,33,January,2011
99,2011-01-05,Springer,0,Wednesday,1,1,0.18,0.1818,0.43,0.194,1,87,88,January,2011
100,2011-01-05,Springer,0,Wednesday,1,1,0.2,0.1818,0.4,0.2985,3,192,195,January,2011
101,2011-01-05,Springer,0,Wednesday,1,1,0.22,0.197,0.37,0.3284,6,109,115,January,2011
102,2011-01-05,Springer,0,Wednesday,1,1,0.22,0.197,0.37,0.3284,4,53,57,January,2011
103,2011-01-05,Springer,0,Wednesday,1,1,0.26,0.2273,0.33,0.3284,12,34,46,January,2011
104,2011-01-05,Springer,0,Wednesday,1,1,0.26,0.2273,0.33,0.3284,5,74,79,January,2011
105,2011-01-05,Springer,0,Wednesday,1,1,0.28,0.2576,0.3,0.2985,6,65,71,January,2011
106,2011-01-05,Springer,0,Wednesday,1,1,0.3,0.2879,0.28,0.194,10,52,62,January,2011
107,2011-01-05,Springer,0,Wednesday,1,1,0.3,0.2879,0.28,0.194,7,55,62,January,2011
108,2011-01-05,Springer,0,Wednesday,1,1,0.3,0.3182,0.28,0.0896,4,85,89,January,2011
109,2011-01-05,Springer,0,Wednesday,1,1,0.24,0.2273,0.38,0.194,4,186,190,January,2011
110,2011-01-05,Springer,0,Wednesday,1,1,0.24,0.2424,0.38,0.1343,3,166,169,January,2011
111,2011-01-05,Springer,0,Wednesday,1,1,0.24,0.2576,0.38,0.1045,5,127,132,January,2011
112,2011-01-05,Springer,0,Wednesday,1,1,0.22,0.2273,0.47,0.1642,7,82,89,January,2011
113,2011-01-05,Springer,0,Wednesday,1,1,0.2,0.197,0.51,0.194,3,40,43,January,2011
114,2011-01-05,Springer,0,Wednesday,1,1,0.18,0.197,0.55,0.1343,1,41,42,January,2011
115,2011-01-05,Springer,0,Wednesday,1,1,0.2,0.2576,0.47,0.0,1,18,19,January,2011
116,2011-01-06,Springer,0,Thursday,1,1,0.18,0.2424,0.55,0.0,0,11,11,January,2011
117,2011-01-06,Springer,0,Thursday,1,1,0.16,0.2273,0.64,0.0,0,4,4,January,2011
118,2011-01-06,Springer,0,Thursday,1,1,0.16,0.2273,0.64,0.0,0,2,2,January,2011
119,2011-01-06,Springer,0,Thursday,1,2,0.16,0.197,0.64,0.0896,0,1,1,January,2011
120,2011-01-06,Springer,0,Thursday,1,2,0.14,0.1818,0.69,0.0896,0,4,4,January,2011
121,2011-01-06,Springer,0,Thursday,1,2,0.14,0.1667,0.63,0.1045,0,36,36,January,2011
122,2011-01-06,Springer,0,Thursday,1,2,0.16,0.2273,0.59,0.0,0,95,95,January,2011
123,2011-01-06,Springer,0,Thursday,1,1,0.16,0.2273,0.59,0.0,3,216,219,January,2011
124,2011-01-06,Springer,0,Thursday,1,2,0.18,0.2424,0.51,0.0,6,116,122,January,2011
125,2011-01-06,Springer,0,Thursday,1,1,0.2,0.2576,0.47,0.0,3,42,45,January,2011
126,2011-01-06,Springer,0,Thursday,1,1,0.22,0.2576,0.44,0.0896,2,57,59,January,2011
127,2011-01-06,Springer,0,Thursday,1,1,0.26,0.2879,0.35,0.0,6,78,84,January,2011
128,2011-01-06,Springer,0,Thursday,1,1,0.26,0.2727,0.35,0.1045,12,55,67,January,2011
129,2011-01-06,Springer,0,Thursday,1,1,0.28,0.2727,0.36,0.1642,11,59,70,January,2011
130,2011-01-06,Springer,0,Thursday,1,1,0.28,0.2727,0.36,0.0,8,54,62,January,2011
131,2011-01-06,Springer,0,Thursday,1,1,0.26,0.2576,0.38,0.1642,12,74,86,January,2011
132,2011-01-06,Springer,0,Thursday,1,1,0.22,0.2273,0.51,0.1642,9,163,172,January,2011
133,2011-01-06,Springer,0,Thursday,1,1,0.22,0.2273,0.51,0.1343,5,158,163,January,2011
134,2011-01-06,Springer,0,Thursday,1,1,0.22,0.2576,0.55,0.0896,3,109,112,January,2011
135,2011-01-06,Springer,0,Thursday,1,1,0.2,0.2121,0.51,0.1642,3,66,69,January,2011
136,2011-01-06,Springer,0,Thursday,1,2,0.22,0.2121,0.55,0.2239,0,48,48,January,2011
137,2011-01-06,Springer,0,Thursday,1,2,0.22,0.2121,0.51,0.2836,1,51,52,January,2011
138,2011-01-06,Springer,0,Thursday,1,2,0.2,0.197,0.59,0.194,4,19,23,January,2011
139,2011-01-07,Springer,0,Friday,1,2,0.2,0.197,0.64,0.194,4,13,17,January,2011
140,2011-01-07,Springer,0,Friday,1,2,0.2,0.197,0.69,0.2239,2,5,7,January,2011
141,2011-01-07,Springer,0,Friday,1,2,0.2,0.197,0.69,0.2239,0,1,1,January,2011
142,2011-01-07,Springer,0,Friday,1,2,0.2,0.2121,0.69,0.1343,0,1,1,January,2011
143,2011-01-07,Springer,0,Friday,1,3,0.22,0.2727,0.55,0.0,0,5,5,January,2011
144,2011-01-07,Springer,0,Friday,1,2,0.2,0.2576,0.69,0.0,8,26,34,January,2011
145,2011-01-07,Springer,0,Friday,1,1,0.2,0.2121,0.69,0.1343,8,76,84,January,2011
146,2011-01-07,Springer,0,Friday,1,1,0.2,0.197,0.51,0.2537,20,190,210,January,2011
147,2011-01-07,Springer,0,Friday,1,1,0.2,0.1818,0.47,0.2985,9,125,134,January,2011
148,2011-01-07,Springer,0,Friday,1,1,0.22,0.197,0.37,0.3284,16,47,63,January,2011
149,2011-01-07,Springer,0,Friday,1,2,0.2,0.197,0.4,0.2239,19,48,67,January,2011
150,2011-01-07,Springer,0,Friday,1,2,0.2,0.197,0.37,0.2537,9,50,59,January,2011
151,2011-01-07,Springer,0,Friday,1,2,0.2,0.1818,0.37,0.2836,9,64,73,January,2011
152,2011-01-07,Springer,0,Friday,1,2,0.2,0.197,0.4,0.2537,7,43,50,January,2011
153,2011-01-07,Springer,0,Friday,1,2,0.2,0.2121,0.37,0.1642,9,63,72,January,2011
154,2011-01-07,Springer,0,Friday,1,2,0.2,0.2121,0.37,0.1642,5,82,87,January,2011
155,2011-01-07,Springer,0,Friday,1,2,0.2,0.2576,0.37,0.0,9,178,187,January,2011
156,2011-01-07,Springer,0,Friday,1,1,0.2,0.2273,0.4,0.0896,7,116,123,January,2011
157,2011-01-07,Springer,0,Friday,1,1,0.16,0.197,0.55,0.0896,3,92,95,January,2011
158,2011-01-07,Springer,0,Friday,1,1,0.18,0.2121,0.47,0.1045,1,50,51,January,2011
159,2011-01-07,Springer,0,Friday,1,1,0.18,0.197,0.47,0.1343,0,39,39,January,2011
160,2011-01-07,Springer,0,Friday,1,2,0.18,0.197,0.43,0.1642,2,34,36,January,2011
161,2011-01-07,Springer,0,Friday,1,2,0.18,0.197,0.51,0.1642,1,14,15,January,2011
162,2011-01-08,Springer,0,Saturday,0,2,0.18,0.197,0.51,0.1642,1,24,25,January,2011
163,2011-01-08,Springer,0,Saturday,0,2,0.18,0.2121,0.55,0.0896,1,15,16,January,2011
164,2011-01-08,Springer,0,Saturday,0,2,0.18,0.2424,0.55,0.0,3,13,16,January,2011
165,2011-01-08,Springer,0,Saturday,0,3,0.18,0.197,0.55,0.1642,0,7,7,January,2011
166,2011-01-08,Springer,0,Saturday,0,3,0.18,0.197,0.55,0.1642,0,1,1,January,2011
167,2011-01-08,Springer,0,Saturday,0,2,0.16,0.1667,0.74,0.1642,0,5,5,January,2011
168,2011-01-08,Springer,0,Saturday,0,2,0.16,0.1667,0.74,0.1642,0,2,2,January,2011
169,2011-01-08,Springer,0,Saturday,0,2,0.16,0.1818,0.74,0.1045,1,8,9,January,2011
170,2011-01-08,Springer,0,Saturday,0,3,0.16,0.1818,0.93,0.1045,0,15,15,January,2011
171,2011-01-08,Springer,0,Saturday,0,3,0.16,0.1818,0.93,0.1045,0,20,20,January,2011
172,2011-01-08,Springer,0,Saturday,0,2,0.18,0.197,0.8,0.1642,5,56,61,January,2011
173,2011-01-08,Springer,0,Saturday,0,2,0.2,0.1818,0.69,0.3881,2,60,62,January,2011
174,2011-01-08,Springer,0,Saturday,0,2,0.2,0.1818,0.59,0.3582,8,90,98,January,2011
175,2011-01-08,Springer,0,Saturday,0,1,0.2,0.1818,0.44,0.3284,7,95,102,January,2011
176,2011-01-08,Springer,0,Saturday,0,1,0.2,0.1667,0.32,0.4925,12,83,95,January,2011
177,2011-01-08,Springer,0,Saturday,0,1,0.2,0.1667,0.32,0.4478,5,69,74,January,2011
178,2011-01-08,Springer,0,Saturday,0,1,0.18,0.1364,0.29,0.4478,8,68,76,January,2011
179,2011-01-08,Springer,0,Saturday,0,1,0.16,0.1212,0.37,0.5522,5,64,69,January,2011
180,2011-01-08,Springer,0,Saturday,0,1,0.14,0.1212,0.39,0.2985,3,52,55,January,2011
181,2011-01-08,Springer,0,Saturday,0,1,0.14,0.1212,0.36,0.2537,4,26,30,January,2011
182,2011-01-08,Springer,0,Saturday,0,1,0.12,0.1212,0.36,0.2537,0,28,28,January,2011
183,2011-01-08,Springer,0,Saturday,0,1,0.12,0.1061,0.39,0.3582,2,35,37,January,2011
184,2011-01-08,Springer,0,Saturday,0,1,0.12,0.1061,0.36,0.3881,1,33,34,January,2011
185,2011-01-08,Springer,0,Saturday,0,1,0.1,0.0606,0.39,0.4478,0,22,22,January,2011
186,2011-01-09,Springer,0,Sunday,0,1,0.1,0.0758,0.42,0.3881,1,24,25,January,2011
187,2011-01-09,Springer,0,Sunday,0,1,0.1,0.0606,0.42,0.4627,0,12,12,January,2011
188,2011-01-09,Springer,0,Sunday,0,1,0.1,0.0606,0.46,0.4627,0,11,11,January,2011
189,2011-01-09,Springer,0,Sunday,0,1,0.1,0.0758,0.46,0.4179,0,4,4,January,2011
190,2011-01-09,Springer,0,Sunday,0,1,0.08,0.0909,0.53,0.194,0,1,1,January,2011
191,2011-01-09,Springer,0,Sunday,0,1,0.08,0.0909,0.53,0.194,0,1,1,January,2011
192,2011-01-09,Springer,0,Sunday,0,1,0.1,0.0909,0.49,0.2836,0,1,1,January,2011
193,2011-01-09,Springer,0,Sunday,0,1,0.08,0.0909,0.53,0.194,1,5,6,January,2011
194,2011-01-09,Springer,0,Sunday,0,1,0.1,0.0909,0.49,0.2836,0,10,10,January,2011
195,2011-01-09,Springer,0,Sunday,0,1,0.12,0.0758,0.46,0.5224,0,19,19,January,2011
196,2011-01-09,Springer,0,Sunday,0,1,0.14,0.1061,0.43,0.3881,0,49,49,January,2011
197,2011-01-09,Springer,0,Sunday,0,1,0.16,0.1212,0.4,0.5224,2,47,49,January,2011
198,2011-01-09,Springer,0,Sunday,0,1,0.18,0.1364,0.37,0.4478,4,79,83,January,2011
199,2011-01-09,Springer,0,Sunday,0,1,0.2,0.1667,0.34,0.4478,6,69,75,January,2011
200,2011-01-09,Springer,0,Sunday,0,1,0.22,0.1818,0.32,0.4627,8,64,72,January,2011
201,2011-01-09,Springer,0,Sunday,0,1,0.22,0.197,0.35,0.3582,5,77,82,January,2011
202,2011-01-09,Springer,0,Sunday,0,1,0.2,0.1667,0.34,0.4478,13,79,92,January,2011
203,2011-01-09,Springer,0,Sunday,0,1,0.18,0.1515,0.37,0.3881,3,59,62,January,2011
204,2011-01-09,Springer,0,Sunday,0,1,0.16,0.1364,0.4,0.3284,4,44,48,January,2011
205,2011-01-09,Springer,0,Sunday,0,1,0.16,0.1364,0.43,0.3284,1,40,41,January,2011
206,2011-01-09,Springer,0,Sunday,0,1,0.14,0.1212,0.46,0.2537,0,38,38,January,2011
207,2011-01-09,Springer,0,Sunday,0,1,0.14,0.1061,0.46,0.4179,1,19,20,January,2011
208,2011-01-09,Springer,0,Sunday,0,1,0.14,0.1212,0.46,0.2985,5,10,15,January,2011
209,2011-01-09,Springer,0,Sunday,0,1,0.12,0.1364,0.5,0.194,0,6,6,January,2011
210,2011-01-10,Springer,0,Monday,1,1,0.12,0.1212,0.5,0.2836,2,3,5,January,2011
211,2011-01-10,Springer,0,Monday,1,1,0.12,0.1212,0.5,0.2836,1,0,1,January,2011
212,2011-01-10,Springer,0,Monday,1,1,0.12,0.1212,0.5,0.2239,0,3,3,January,2011
213,2011-01-10,Springer,0,Monday,1,1,0.12,0.1212,0.5,0.2239,0,1,1,January,2011
214,2011-01-10,Springer,0,Monday,1,1,0.1,0.1212,0.54,0.1343,1,2,3,January,2011
215,2011-01-10,Springer,0,Monday,1,1,0.1,0.1061,0.54,0.2537,0,3,3,January,2011
216,2011-01-10,Springer,0,Monday,1,1,0.12,0.1212,0.5,0.2836,0,31,31,January,2011
217,2011-01-10,Springer,0,Monday,1,1,0.12,0.1212,0.5,0.2239,2,75,77,January,2011
218,2011-01-10,Springer,0,Monday,1,2,0.12,0.1212,0.5,0.2836,4,184,188,January,2011
219,2011-01-10,Springer,0,Monday,1,2,0.14,0.1212,0.5,0.2537,2,92,94,January,2011
220,2011-01-10,Springer,0,Monday,1,2,0.14,0.1212,0.5,0.2985,0,31,31,January,2011
221,2011-01-10,Springer,0,Monday,1,2,0.16,0.1364,0.47,0.2836,2,28,30,January,2011
222,2011-01-10,Springer,0,Monday,1,2,0.2,0.1818,0.4,0.2836,5,47,52,January,2011
223,2011-01-10,Springer,0,Monday,1,2,0.2,0.1818,0.4,0.2836,4,50,54,January,2011
224,2011-01-10,Springer,0,Monday,1,2,0.2,0.197,0.4,0.2239,0,47,47,January,2011
225,2011-01-10,Springer,0,Monday,1,2,0.2,0.197,0.4,0.2239,2,43,45,January,2011
226,2011-01-10,Springer,0,Monday,1,1,0.2,0.2121,0.4,0.1343,4,70,74,January,2011
227,2011-01-10,Springer,0,Monday,1,1,0.2,0.2273,0.4,0.1045,4,174,178,January,2011
228,2011-01-10,Springer,0,Monday,1,1,0.2,0.197,0.4,0.2239,1,154,155,January,2011
229,2011-01-10,Springer,0,Monday,1,1,0.16,0.1667,0.47,0.1642,3,92,95,January,2011
230,2011-01-10,Springer,0,Monday,1,1,0.16,0.1667,0.5,0.1642,1,73,74,January,2011
231,2011-01-10,Springer,0,Monday,1,1,0.14,0.1364,0.59,0.194,1,37,38,January,2011
232,2011-01-10,Springer,0,Monday,1,1,0.14,0.1515,0.59,0.1642,2,22,24,January,2011
233,2011-01-10,Springer,0,Monday,1,1,0.14,0.1515,0.59,0.1642,0,18,18,January,2011
234,2011-01-11,Springer,0,Tuesday,1,1,0.14,0.1667,0.59,0.1045,2,10,12,January,2011
235,2011-01-11,Springer,0,Tuesday,1,1,0.14,0.1515,0.59,0.1642,0,3,3,January,2011
236,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.1515,0.55,0.194,0,3,3,January,2011
237,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.1818,0.55,0.1343,0,6,6,January,2011
238,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.1818,0.55,0.1343,0,27,27,January,2011
239,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.2273,0.55,0.0,2,97,99,January,2011
240,2011-01-11,Springer,0,Tuesday,1,2,0.18,0.2121,0.51,0.0896,3,214,217,January,2011
241,2011-01-11,Springer,0,Tuesday,1,2,0.18,0.197,0.51,0.1642,3,127,130,January,2011
242,2011-01-11,Springer,0,Tuesday,1,2,0.2,0.2121,0.51,0.1642,3,51,54,January,2011
243,2011-01-11,Springer,0,Tuesday,1,2,0.2,0.2121,0.47,0.1343,4,31,35,January,2011
244,2011-01-11,Springer,0,Tuesday,1,2,0.2,0.2273,0.51,0.1045,2,55,57,January,2011
245,2011-01-11,Springer,0,Tuesday,1,2,0.2,0.2273,0.59,0.0896,6,46,52,January,2011
246,2011-01-11,Springer,0,Tuesday,1,2,0.2,0.2273,0.59,0.0896,3,60,63,January,2011
247,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.197,0.8,0.0896,2,45,47,January,2011
248,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.1515,0.86,0.2239,4,72,76,January,2011
249,2011-01-11,Springer,0,Tuesday,1,2,0.16,0.1515,0.86,0.2239,6,130,136,January,2011
250,2011-01-11,Springer,0,Tuesday,1,3,0.16,0.1818,0.93,0.1045,1,94,95,January,2011
251,2011-01-11,Springer,0,Tuesday,1,3,0.16,0.2273,0.93,0.0,0,51,51,January,2011
252,2011-01-11,Springer,0,Tuesday,1,3,0.16,0.1515,0.93,0.194,0,32,32,January,2011
253,2011-01-11,Springer,0,Tuesday,1,3,0.16,0.197,0.86,0.0896,0,20,20,January,2011
254,2011-01-11,Springer,0,Tuesday,1,3,0.16,0.1818,0.93,0.1045,1,28,29,January,2011
255,2011-01-11,Springer,0,Tuesday,1,3,0.16,0.197,0.93,0.0896,1,18,19,January,2011
256,2011-01-12,Springer,0,Wednesday,1,2,0.16,0.197,0.86,0.0896,0,7,7,January,2011
257,2011-01-12,Springer,0,Wednesday,1,2,0.16,0.1818,0.86,0.1045,0,6,6,January,2011
258,2011-01-12,Springer,0,Wednesday,1,1,0.14,0.1515,0.86,0.1343,0,1,1,January,2011
259,2011-01-12,Springer,0,Wednesday,1,1,0.14,0.1515,0.86,0.1642,0,5,5,January,2011
260,2011-01-12,Springer,0,Wednesday,1,1,0.12,0.1515,0.93,0.1343,0,16,16,January,2011
261,2011-01-12,Springer,0,Wednesday,1,1,0.14,0.1515,0.69,0.1343,0,54,54,January,2011
262,2011-01-12,Springer,0,Wednesday,1,1,0.16,0.1667,0.59,0.1642,3,125,128,January,2011
263,2011-01-12,Springer,0,Wednesday,1,1,0.16,0.1364,0.59,0.3284,3,78,81,January,2011
